"method","Ranked Score"
"entropy1.bn10",51.7717543474932
"entropy1.bn15",53.7870630470628
"entropy1.com",55.5700483673278
"entropy1.sw.bn10",51.7717543474932
"entropy1.sw.bn15",53.7870630470628
"entropy1.sw.com",55.9448855751009
"entropy1.sw.wt0.7",74.0076064984238
"entropy1.wt0.8",61.4483869794267
"mse1.bn10",57.4387967221682
"mse1.bn15",62.5966034819921
"mse1.com",69.13923115139
"mse1.sw.bn10",57.2930937861159
"mse1.sw.bn15",61.8667291658257
"mse1.sw.com",68.7020449676449
"mse1.sw.wt0.002",68.2709551437981
"mse1.sw.wt0.1",58.3802812475255
"mse1.wt0.08",69.100696592744
"mse1.wt0.1",59.6551316930051
"pearson1.bn10",53.0733599320982
"pearson1.bn15",53.8804175776161
"pearson1.com",54.829185813201
"pearson1.sw.bn10",53.0733599320982
"pearson1.sw.bn15",53.8804175776161
"pearson1.sw.com",55.8338688776996
"pearson1.sw.wt0.5",58.9832306079166
"pearson1.sw.wt0.6",52.6232261039926
"pearson1.wt0.4",61.0522305568705
"pearson1.wt0.5",58.9832306079165
"pearson1.wt0.6",52.6233942989807
"simrank.bn10",50.0405930200583
"simrank.bn15",52.2796342017288
"simrank.com",51.1338880633035
"simrank.sw.bn10",49.2395958884143
"simrank.sw.bn15",52.6580739065447
"simrank.sw.com",50.6818265451676
"simrank.sw.wt0.07",64.2135523845816
"simrank.wt0.08",58.7437145164805
